,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
71,0,0,0,0,0,0,0,0,14,1,1,1,3,0,7,6,7,0,0,1,3,1,3,7,True
72,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,False
73,3,0,0,0,1,1,1,3,3,0,0,0,1,1,1,3,6,0,0,1,3,0,3,6,False
74,2,0,0,0,1,0,1,2,5,0,0,1,2,1,2,5,6,0,0,1,3,0,3,6,False
75,2,0,0,0,1,0,1,2,6,0,0,1,3,0,3,6,15,1,1,1,3,1,7,7,True
76,2,0,0,0,1,0,1,2,8,1,1,0,0,0,4,0,6,0,0,1,3,0,3,6,False
77,2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,8,1,1,0,0,0,4,0,False
78,2,0,0,0,1,0,1,2,12,1,1,1,2,0,6,4,10,1,1,0,1,0,5,2,False
79,2,0,0,0,1,0,1,2,14,1,1,1,3,0,7,6,0,0,0,0,0,0,0,0,False
80,4,0,0,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
81,4,0,0,1,2,0,2,4,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,False
82,5,0,0,1,2,1,2,5,4,0,0,1,2,0,2,4,2,0,0,0,1,0,1,2,False
83,5,0,0,1,2,1,2,5,7,0,0,1,3,1,3,7,7,0,0,1,3,1,3,7,True
84,5,0,0,1,2,1,2,5,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,True
85,5,0,0,1,2,1,2,5,11,1,1,0,1,1,5,3,4,0,0,1,2,0,2,4,False
86,4,0,0,1,2,0,2,4,13,1,1,1,2,1,6,5,3,0,0,0,1,1,1,3,False
87,5,0,0,1,2,1,2,5,15,1,1,1,3,1,7,7,1,0,0,0,0,1,0,1,False
88,7,0,0,1,3,1,3,7,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,True
89,6,0,0,1,3,0,3,6,3,0,0,0,1,1,1,3,9,1,1,0,0,1,4,1,False
90,7,0,0,1,3,1,3,7,4,0,0,1,2,0,2,4,7,0,0,1,3,1,3,7,False
91,7,0,0,1,3,1,3,7,6,0,0,1,3,0,3,6,10,1,1,0,1,0,5,2,False
92,6,0,0,1,3,0,3,6,8,1,1,0,0,0,4,0,9,1,1,0,0,1,4,1,True
93,7,0,0,1,3,1,3,7,10,1,1,0,1,0,5,2,8,1,1,0,0,0,4,0,False
94,7,0,0,1,3,1,3,7,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
95,6,0,0,1,3,0,3,6,15,1,1,1,3,1,7,7,2,0,0,0,1,0,1,2,False
96,9,1,1,0,0,1,4,1,1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,False
97,8,1,1,0,0,0,4,0,3,0,0,0,1,1,1,3,5,0,0,1,2,1,2,5,False
98,8,1,1,0,0,0,4,0,5,0,0,1,2,1,2,5,14,1,1,1,3,0,7,6,False
99,8,1,1,0,0,0,4,0,6,0,0,1,3,0,3,6,5,0,0,1,2,1,2,5,False
100,8,1,1,0,0,0,4,0,9,1,1,0,0,1,4,1,6,0,0,1,3,0,3,6,False
101,9,1,1,0,0,1,4,1,11,1,1,0,1,1,5,3,10,1,1,0,1,0,5,2,True
102,9,1,1,0,0,1,4,1,12,1,1,1,2,0,6,4,13,1,1,1,2,1,6,5,True
103,9,1,1,0,0,1,4,1,15,1,1,1,3,1,7,7,3,0,0,0,1,1,1,3,False
104,11,1,1,0,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
105,10,1,1,0,1,0,5,2,2,0,0,0,1,0,1,2,1,0,0,0,0,1,0,1,False
106,11,1,1,0,1,1,5,3,5,0,0,1,2,1,2,5,12,1,1,1,2,0,6,4,True
107,11,1,1,0,1,1,5,3,6,0,0,1,3,0,3,6,15,1,1,1,3,1,7,7,True
108,10,1,1,0,1,0,5,2,9,1,1,0,0,1,4,1,4,0,0,1,2,0,2,4,False
109,11,1,1,0,1,1,5,3,11,1,1,0,1,1,5,3,3,0,0,0,1,1,1,3,True
110,10,1,1,0,1,0,5,2,13,1,1,1,2,1,6,5,12,1,1,1,2,0,6,4,True
111,10,1,1,0,1,0,5,2,14,1,1,1,3,0,7,6,6,0,0,1,3,0,3,6,True
112,12,1,1,1,2,0,6,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,True
113,13,1,1,1,2,1,6,5,3,0,0,0,1,1,1,3,11,1,1,0,1,1,5,3,True
114,12,1,1,1,2,0,6,4,5,0,0,1,2,1,2,5,11,1,1,0,1,1,5,3,False
115,12,1,1,1,2,0,6,4,6,0,0,1,3,0,3,6,14,1,1,1,3,0,7,6,True
116,12,1,1,1,2,0,6,4,8,1,1,0,0,0,4,0,4,0,0,1,2,0,2,4,False
117,12,1,1,1,2,0,6,4,11,1,1,0,1,1,5,3,11,1,1,0,1,1,5,3,True
118,12,1,1,1,2,0,6,4,12,1,1,1,2,0,6,4,6,0,0,1,3,0,3,6,False
119,12,1,1,1,2,0,6,4,15,1,1,1,3,1,7,7,11,1,1,0,1,1,5,3,False
120,14,1,1,1,3,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
121,14,1,1,1,3,0,7,6,2,0,0,0,1,0,1,2,5,0,0,1,2,1,2,5,False
122,14,1,1,1,3,0,7,6,5,0,0,1,2,1,2,5,4,0,0,1,2,0,2,4,True
123,15,1,1,1,3,1,7,7,7,0,0,1,3,1,3,7,7,0,0,1,3,1,3,7,True
124,15,1,1,1,3,1,7,7,8,1,1,0,0,0,4,0,6,0,0,1,3,0,3,6,False
125,14,1,1,1,3,0,7,6,10,1,1,0,1,0,5,2,13,1,1,1,2,1,6,5,False
126,15,1,1,1,3,1,7,7,12,1,1,1,2,0,6,4,11,1,1,0,1,1,5,3,False
127,15,1,1,1,3,1,7,7,15,1,1,1,3,1,7,7,0,0,0,0,0,0,0,0,False
128,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,8,1,1,0,0,0,4,0,True
129,1,0,0,0,0,1,0,1,3,0,0,0,1,1,1,3,3,0,0,0,1,1,1,3,True
130,1,0,0,0,0,1,0,1,4,0,0,1,2,0,2,4,3,0,0,0,1,1,1,3,False
131,0,0,0,0,0,0,0,0,6,0,0,1,3,0,3,6,9,1,1,0,0,1,4,1,False
132,1,0,0,0,0,1,0,1,8,1,1,0,0,0,4,0,1,0,0,0,0,1,0,1,True
133,0,0,0,0,0,0,0,0,11,1,1,0,1,1,5,3,11,1,1,0,1,1,5,3,True
134,0,0,0,0,0,0,0,0,12,1,1,1,2,0,6,4,3,0,0,0,1,1,1,3,False
135,1,0,0,0,0,1,0,1,14,1,1,1,3,0,7,6,6,0,0,1,3,0,3,6,True
136,2,0,0,0,1,0,1,2,1,0,0,0,0,1,0,1,6,0,0,1,3,0,3,6,False
137,2,0,0,0,1,0,1,2,3,0,0,0,1,1,1,3,9,1,1,0,0,1,4,1,False
138,2,0,0,0,1,0,1,2,4,0,0,1,2,0,2,4,12,1,1,1,2,0,6,4,True
139,3,0,0,0,1,1,1,3,6,0,0,1,3,0,3,6,7,0,0,1,3,1,3,7,True
140,3,0,0,0,1,1,1,3,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,True
141,3,0,0,0,1,1,1,3,11,1,1,0,1,1,5,3,0,0,0,0,0,0,0,0,False
142,2,0,0,0,1,0,1,2,13,1,1,1,2,1,6,5,6,0,0,1,3,0,3,6,False
143,2,0,0,0,1,0,1,2,15,1,1,1,3,1,7,7,15,1,1,1,3,1,7,7,True
144,5,0,0,1,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
145,5,0,0,1,2,1,2,5,3,0,0,0,1,1,1,3,3,0,0,0,1,1,1,3,True
146,5,0,0,1,2,1,2,5,4,0,0,1,2,0,2,4,13,1,1,1,2,1,6,5,True
147,4,0,0,1,2,0,2,4,7,0,0,1,3,1,3,7,5,0,0,1,2,1,2,5,False
148,4,0,0,1,2,0,2,4,9,1,1,0,0,1,4,1,10,1,1,0,1,0,5,2,False
149,4,0,0,1,2,0,2,4,11,1,1,0,1,1,5,3,14,1,1,1,3,0,7,6,False
150,5,0,0,1,2,1,2,5,12,1,1,1,2,0,6,4,10,1,1,0,1,0,5,2,False
151,5,0,0,1,2,1,2,5,14,1,1,1,3,0,7,6,11,1,1,0,1,1,5,3,False
152,6,0,0,1,3,0,3,6,1,0,0,0,0,1,0,1,9,1,1,0,0,1,4,1,True
153,7,0,0,1,3,1,3,7,2,0,0,0,1,0,1,2,2,0,0,0,1,0,1,2,True
154,6,0,0,1,3,0,3,6,4,0,0,1,2,0,2,4,12,1,1,1,2,0,6,4,True
155,7,0,0,1,3,1,3,7,6,0,0,1,3,0,3,6,15,1,1,1,3,1,7,7,True
156,7,0,0,1,3,1,3,7,8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,True
157,7,0,0,1,3,1,3,7,11,1,1,0,1,1,5,3,2,0,0,0,1,0,1,2,True
158,7,0,0,1,3,1,3,7,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
159,6,0,0,1,3,0,3,6,14,1,1,1,3,0,7,6,12,1,1,1,2,0,6,4,False
160,8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,13,1,1,1,2,1,6,5,False
161,8,1,1,0,0,0,4,0,2,0,0,0,1,0,1,2,2,0,0,0,1,0,1,2,True
162,9,1,1,0,0,1,4,1,5,0,0,1,2,1,2,5,4,0,0,1,2,0,2,4,True
163,9,1,1,0,0,1,4,1,7,0,0,1,3,1,3,7,3,0,0,0,1,1,1,3,False
164,8,1,1,0,0,0,4,0,8,1,1,0,0,0,4,0,5,0,0,1,2,1,2,5,False
165,8,1,1,0,0,0,4,0,11,1,1,0,1,1,5,3,12,1,1,1,2,0,6,4,False
166,8,1,1,0,0,0,4,0,13,1,1,1,2,1,6,5,5,0,0,1,2,1,2,5,True
167,8,1,1,0,0,0,4,0,14,1,1,1,3,0,7,6,8,1,1,0,0,0,4,0,False
168,10,1,1,0,1,0,5,2,0,0,0,0,0,0,0,0,9,1,1,0,0,1,4,1,True
169,10,1,1,0,1,0,5,2,3,0,0,0,1,1,1,3,2,0,0,0,1,0,1,2,True
170,10,1,1,0,1,0,5,2,5,0,0,1,2,1,2,5,11,1,1,0,1,1,5,3,False
171,11,1,1,0,1,1,5,3,6,0,0,1,3,0,3,6,6,0,0,1,3,0,3,6,True
172,11,1,1,0,1,1,5,3,8,1,1,0,0,0,4,0,1,0,0,0,0,1,0,1,True
173,11,1,1,0,1,1,5,3,10,1,1,0,1,0,5,2,7,0,0,1,3,1,3,7,False
174,10,1,1,0,1,0,5,2,12,1,1,1,2,0,6,4,5,0,0,1,2,1,2,5,True
175,11,1,1,0,1,1,5,3,15,1,1,1,3,1,7,7,0,0,0,0,0,0,0,0,False
176,13,1,1,1,2,1,6,5,1,0,0,0,0,1,0,1,10,1,1,0,1,0,5,2,False
177,13,1,1,1,2,1,6,5,3,0,0,0,1,1,1,3,2,0,0,0,1,0,1,2,True
178,13,1,1,1,2,1,6,5,4,0,0,1,2,0,2,4,11,1,1,0,1,1,5,3,False
179,13,1,1,1,2,1,6,5,7,0,0,1,3,1,3,7,6,0,0,1,3,0,3,6,True
180,12,1,1,1,2,0,6,4,8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,True
181,13,1,1,1,2,1,6,5,11,1,1,0,1,1,5,3,7,0,0,1,3,1,3,7,False
182,12,1,1,1,2,0,6,4,12,1,1,1,2,0,6,4,11,1,1,0,1,1,5,3,False
183,12,1,1,1,2,0,6,4,15,1,1,1,3,1,7,7,4,0,0,1,2,0,2,4,False
184,14,1,1,1,3,0,7,6,1,0,0,0,0,1,0,1,3,0,0,0,1,1,1,3,False
185,14,1,1,1,3,0,7,6,3,0,0,0,1,1,1,3,10,1,1,0,1,0,5,2,True
186,15,1,1,1,3,1,7,7,4,0,0,1,2,0,2,4,8,1,1,0,0,0,4,0,False
187,15,1,1,1,3,1,7,7,6,0,0,1,3,0,3,6,8,1,1,0,0,0,4,0,False
188,14,1,1,1,3,0,7,6,8,1,1,0,0,0,4,0,2,0,0,0,1,0,1,2,False
189,15,1,1,1,3,1,7,7,10,1,1,0,1,0,5,2,2,0,0,0,1,0,1,2,True
190,15,1,1,1,3,1,7,7,13,1,1,1,2,1,6,5,5,0,0,1,2,1,2,5,True
191,15,1,1,1,3,1,7,7,15,1,1,1,3,1,7,7,3,0,0,0,1,1,1,3,False
192,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,True
193,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,3,2,0,0,0,1,0,1,2,True
194,1,0,0,0,0,1,0,1,5,0,0,1,2,1,2,5,0,0,0,0,0,0,0,0,False
195,1,0,0,0,0,1,0,1,6,0,0,1,3,0,3,6,4,0,0,1,2,0,2,4,False
196,0,0,0,0,0,0,0,0,9,1,1,0,0,1,4,1,1,0,0,0,0,1,0,1,True
197,1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,10,1,1,0,1,0,5,2,True
198,0,0,0,0,0,0,0,0,13,1,1,1,2,1,6,5,12,1,1,1,2,0,6,4,True
199,0,0,0,0,0,0,0,0,14,1,1,1,3,0,7,6,6,0,0,1,3,0,3,6,True
200,2,0,0,0,1,0,1,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,True
201,2,0,0,0,1,0,1,2,3,0,0,0,1,1,1,3,11,1,1,0,1,1,5,3,True
202,3,0,0,0,1,1,1,3,5,0,0,1,2,1,2,5,12,1,1,1,2,0,6,4,True
203,2,0,0,0,1,0,1,2,6,0,0,1,3,0,3,6,1,0,0,0,0,1,0,1,False
204,2,0,0,0,1,0,1,2,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,True
205,3,0,0,0,1,1,1,3,11,1,1,0,1,1,5,3,1,0,0,0,0,1,0,1,False
206,3,0,0,0,1,1,1,3,13,1,1,1,2,1,6,5,10,1,1,0,1,0,5,2,False
207,3,0,0,0,1,1,1,3,15,1,1,1,3,1,7,7,8,1,1,0,0,0,4,0,False
208,5,0,0,1,2,1,2,5,0,0,0,0,0,0,0,0,7,0,0,1,3,1,3,7,False
209,5,0,0,1,2,1,2,5,2,0,0,0,1,0,1,2,15,1,1,1,3,1,7,7,False
210,4,0,0,1,2,0,2,4,5,0,0,1,2,1,2,5,15,1,1,1,3,1,7,7,False
211,4,0,0,1,2,0,2,4,7,0,0,1,3,1,3,7,6,0,0,1,3,0,3,6,True
212,4,0,0,1,2,0,2,4,9,1,1,0,0,1,4,1,11,1,1,0,1,1,5,3,False
213,4,0,0,1,2,0,2,4,11,1,1,0,1,1,5,3,2,0,0,0,1,0,1,2,True
214,5,0,0,1,2,1,2,5,13,1,1,1,2,1,6,5,5,0,0,1,2,1,2,5,True
215,5,0,0,1,2,1,2,5,14,1,1,1,3,0,7,6,6,0,0,1,3,0,3,6,True
216,7,0,0,1,3,1,3,7,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,True
217,7,0,0,1,3,1,3,7,3,0,0,0,1,1,1,3,10,1,1,0,1,0,5,2,True
218,7,0,0,1,3,1,3,7,4,0,0,1,2,0,2,4,13,1,1,1,2,1,6,5,True
219,7,0,0,1,3,1,3,7,7,0,0,1,3,1,3,7,14,1,1,1,3,0,7,6,True
220,6,0,0,1,3,0,3,6,9,1,1,0,0,1,4,1,12,1,1,1,2,0,6,4,False
221,7,0,0,1,3,1,3,7,11,1,1,0,1,1,5,3,1,0,0,0,0,1,0,1,False
222,7,0,0,1,3,1,3,7,12,1,1,1,2,0,6,4,5,0,0,1,2,1,2,5,True
223,7,0,0,1,3,1,3,7,15,1,1,1,3,1,7,7,6,0,0,1,3,0,3,6,True
224,9,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,9,1,1,0,0,1,4,1,True
225,8,1,1,0,0,0,4,0,3,0,0,0,1,1,1,3,10,1,1,0,1,0,5,2,True
226,9,1,1,0,0,1,4,1,4,0,0,1,2,0,2,4,11,1,1,0,1,1,5,3,False
227,8,1,1,0,0,0,4,0,6,0,0,1,3,0,3,6,15,1,1,1,3,1,7,7,True
228,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,2,0,0,0,1,0,1,2,False
229,9,1,1,0,0,1,4,1,10,1,1,0,1,0,5,2,1,0,0,0,0,1,0,1,False
230,9,1,1,0,0,1,4,1,12,1,1,1,2,0,6,4,5,0,0,1,2,1,2,5,True
231,9,1,1,0,0,1,4,1,15,1,1,1,3,1,7,7,14,1,1,1,3,0,7,6,True
232,10,1,1,0,1,0,5,2,0,0,0,0,0,0,0,0,4,0,0,1,2,0,2,4,False
233,11,1,1,0,1,1,5,3,2,0,0,0,1,0,1,2,12,1,1,1,2,0,6,4,False
234,11,1,1,0,1,1,5,3,5,0,0,1,2,1,2,5,12,1,1,1,2,0,6,4,True
235,10,1,1,0,1,0,5,2,7,0,0,1,3,1,3,7,10,1,1,0,1,0,5,2,False
236,11,1,1,0,1,1,5,3,9,1,1,0,0,1,4,1,6,0,0,1,3,0,3,6,False
237,10,1,1,0,1,0,5,2,10,1,1,0,1,0,5,2,10,1,1,0,1,0,5,2,True
238,10,1,1,0,1,0,5,2,12,1,1,1,2,0,6,4,14,1,1,1,3,0,7,6,False
239,10,1,1,0,1,0,5,2,14,1,1,1,3,0,7,6,7,0,0,1,3,1,3,7,True
240,13,1,1,1,2,1,6,5,1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,False
241,12,1,1,1,2,0,6,4,2,0,0,0,1,0,1,2,10,1,1,0,1,0,5,2,True
242,12,1,1,1,2,0,6,4,4,0,0,1,2,0,2,4,12,1,1,1,2,0,6,4,True
243,12,1,1,1,2,0,6,4,6,0,0,1,3,0,3,6,8,1,1,0,0,0,4,0,False
244,12,1,1,1,2,0,6,4,8,1,1,0,0,0,4,0,9,1,1,0,0,1,4,1,True
245,13,1,1,1,2,1,6,5,10,1,1,0,1,0,5,2,3,0,0,0,1,1,1,3,True
246,13,1,1,1,2,1,6,5,12,1,1,1,2,0,6,4,13,1,1,1,2,1,6,5,True
247,12,1,1,1,2,0,6,4,15,1,1,1,3,1,7,7,15,1,1,1,3,1,7,7,True
248,14,1,1,1,3,0,7,6,0,0,0,0,0,0,0,0,7,0,0,1,3,1,3,7,False
249,15,1,1,1,3,1,7,7,3,0,0,0,1,1,1,3,11,1,1,0,1,1,5,3,True
250,14,1,1,1,3,0,7,6,4,0,0,1,2,0,2,4,3,0,0,0,1,1,1,3,False
251,15,1,1,1,3,1,7,7,6,0,0,1,3,0,3,6,3,0,0,0,1,1,1,3,False
252,15,1,1,1,3,1,7,7,8,1,1,0,0,0,4,0,13,1,1,1,2,1,6,5,False
253,14,1,1,1,3,0,7,6,10,1,1,0,1,0,5,2,1,0,0,0,0,1,0,1,False
254,15,1,1,1,3,1,7,7,12,1,1,1,2,0,6,4,4,0,0,1,2,0,2,4,True
255,15,1,1,1,3,1,7,7,15,1,1,1,3,1,7,7,6,0,0,1,3,0,3,6,True
256,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,8,1,1,0,0,0,4,0,True
257,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,15,1,1,1,3,1,7,7,False
258,0,0,0,0,0,0,0,0,4,0,0,1,2,0,2,4,3,0,0,0,1,1,1,3,False
259,1,0,0,0,0,1,0,1,6,0,0,1,3,0,3,6,6,0,0,1,3,0,3,6,True
260,1,0,0,0,0,1,0,1,9,1,1,0,0,1,4,1,8,1,1,0,0,0,4,0,True
261,0,0,0,0,0,0,0,0,10,1,1,0,1,0,5,2,10,1,1,0,1,0,5,2,True
262,0,0,0,0,0,0,0,0,13,1,1,1,2,1,6,5,3,0,0,0,1,1,1,3,False
263,0,0,0,0,0,0,0,0,14,1,1,1,3,0,7,6,9,1,1,0,0,1,4,1,False
