,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
13,7,3,0,1,1,3,7,2,1,0,0,0,1,2,8,0,1,0,0,4,0,1,0,0,1,0,0,1,True,False
14,0,0,0,0,0,0,0,5,2,0,1,1,2,5,10,1,1,0,0,5,2,15,3,1,1,1,7,7,False,False
15,10,1,1,0,0,5,2,9,0,1,1,0,4,1,11,1,1,1,0,5,3,4,2,0,0,1,2,4,True,False
16,9,0,1,1,0,4,1,5,2,0,1,1,2,5,7,3,0,1,1,3,7,0,0,0,0,0,0,0,True,True
17,0,0,0,0,0,0,0,15,3,1,1,1,7,7,10,1,1,0,0,5,2,11,1,1,1,0,5,3,False,True
18,11,1,1,1,0,5,3,4,2,0,0,1,2,4,10,1,1,0,0,5,2,3,1,0,1,0,1,3,False,True
19,7,3,0,1,1,3,7,7,3,0,1,1,3,7,12,2,1,0,1,6,4,12,2,1,0,1,6,4,True,True
20,15,3,1,1,1,7,7,4,2,0,0,1,2,4,4,2,0,0,1,2,4,10,1,1,0,0,5,2,True,False
21,5,2,0,1,1,2,5,9,0,1,1,0,4,1,0,0,0,0,0,0,0,7,3,0,1,1,3,7,True,True
22,13,2,1,1,1,6,5,3,1,0,1,0,1,3,5,2,0,1,1,2,5,9,0,1,1,0,4,1,False,False
23,4,2,0,0,1,2,4,15,3,1,1,1,7,7,15,3,1,1,1,7,7,10,1,1,0,0,5,2,True,False
24,0,0,0,0,0,0,0,11,1,1,1,0,5,3,3,1,0,1,0,1,3,12,2,1,0,1,6,4,True,False
25,15,3,1,1,1,7,7,6,3,0,0,1,3,6,8,0,1,0,0,4,0,15,3,1,1,1,7,7,False,True
26,3,1,0,1,0,1,3,13,2,1,1,1,6,5,9,0,1,1,0,4,1,0,0,0,0,0,0,0,False,True
27,10,1,1,0,0,5,2,0,0,0,0,0,0,0,12,2,1,0,1,6,4,7,3,0,1,1,3,7,False,False
28,4,2,0,0,1,2,4,3,1,0,1,0,1,3,0,0,0,0,0,0,0,4,2,0,0,1,2,4,True,True
29,6,3,0,0,1,3,6,10,1,1,0,0,5,2,7,3,0,1,1,3,7,8,0,1,0,0,4,0,False,False
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,1,1,3,7,7,3,0,1,1,3,7,False,False
31,3,1,0,1,0,1,3,0,0,0,0,0,0,0,11,1,1,1,0,5,3,5,2,0,1,1,2,5,True,False
32,0,0,0,0,0,0,0,15,3,1,1,1,7,7,5,2,0,1,1,2,5,8,0,1,0,0,4,0,True,True
33,8,0,1,0,0,4,0,0,0,0,0,0,0,0,8,0,1,0,0,4,0,2,1,0,0,0,1,2,True,True
34,3,1,0,1,0,1,3,5,2,0,1,1,2,5,1,0,0,1,0,0,1,10,1,1,0,0,5,2,False,True
35,15,3,1,1,1,7,7,6,3,0,0,1,3,6,10,1,1,0,0,5,2,5,2,0,1,1,2,5,False,True
36,6,3,0,0,1,3,6,15,3,1,1,1,7,7,15,3,1,1,1,7,7,10,1,1,0,0,5,2,True,False
37,12,2,1,0,1,6,4,6,3,0,0,1,3,6,9,0,1,1,0,4,1,14,3,1,0,1,7,6,False,True
38,5,2,0,1,1,2,5,10,1,1,0,0,5,2,1,0,0,1,0,0,1,1,0,0,1,0,0,1,True,False
39,13,2,1,1,1,6,5,3,1,0,1,0,1,3,13,2,1,1,1,6,5,10,1,1,0,0,5,2,False,False
40,8,0,1,0,0,4,0,13,2,1,1,1,6,5,10,1,1,0,0,5,2,5,2,0,1,1,2,5,False,False
41,15,3,1,1,1,7,7,3,1,0,1,0,1,3,15,3,1,1,1,7,7,15,3,1,1,1,7,7,False,True
42,10,1,1,0,0,5,2,1,0,0,1,0,0,1,14,3,1,0,1,7,6,1,0,0,1,0,0,1,False,True
43,3,1,0,1,0,1,3,8,0,1,0,0,4,0,2,1,0,0,0,1,2,15,3,1,1,1,7,7,True,False
44,13,2,1,1,1,6,5,8,0,1,0,0,4,0,5,2,0,1,1,2,5,5,2,0,1,1,2,5,False,True
45,6,3,0,0,1,3,6,13,2,1,1,1,6,5,5,2,0,1,1,2,5,9,0,1,1,0,4,1,True,False
46,1,0,0,1,0,0,1,3,1,0,1,0,1,3,10,1,1,0,0,5,2,14,3,1,0,1,7,6,True,False
47,3,1,0,1,0,1,3,12,2,1,0,1,6,4,14,3,1,0,1,7,6,13,2,1,1,1,6,5,True,False
48,1,0,0,1,0,0,1,3,1,0,1,0,1,3,2,1,0,0,0,1,2,1,0,0,1,0,0,1,True,True
49,1,0,0,1,0,0,1,0,0,0,0,0,0,0,5,2,0,1,1,2,5,11,1,1,1,0,5,3,False,True
50,3,1,0,1,0,1,3,1,0,0,1,0,0,1,11,1,1,1,0,5,3,2,1,0,0,0,1,2,True,True
51,15,3,1,1,1,7,7,15,3,1,1,1,7,7,13,2,1,1,1,6,5,13,2,1,1,1,6,5,True,True
52,14,3,1,0,1,7,6,4,2,0,0,1,2,4,1,0,0,1,0,0,1,10,1,1,0,0,5,2,False,False
53,4,2,0,0,1,2,4,8,0,1,0,0,4,0,6,3,0,0,1,3,6,15,3,1,1,1,7,7,False,True
54,4,2,0,0,1,2,4,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,True,False
55,5,2,0,1,1,2,5,3,1,0,1,0,1,3,5,2,0,1,1,2,5,10,1,1,0,0,5,2,False,False
56,0,0,0,0,0,0,0,10,1,1,0,0,5,2,6,3,0,0,1,3,6,5,2,0,1,1,2,5,False,False
57,6,3,0,0,1,3,6,6,3,0,0,1,3,6,7,3,0,1,1,3,7,7,3,0,1,1,3,7,True,True
58,10,1,1,0,0,5,2,7,3,0,1,1,3,7,8,0,1,0,0,4,0,9,0,1,1,0,4,1,False,True
59,10,1,1,0,0,5,2,4,2,0,0,1,2,4,15,3,1,1,1,7,7,6,3,0,0,1,3,6,True,False
60,4,2,0,0,1,2,4,14,3,1,0,1,7,6,10,1,1,0,0,5,2,4,2,0,0,1,2,4,False,True
61,7,3,0,1,1,3,7,10,1,1,0,0,5,2,9,0,1,1,0,4,1,8,0,1,0,0,4,0,True,False
62,8,0,1,0,0,4,0,5,2,0,1,1,2,5,10,1,1,0,0,5,2,6,3,0,0,1,3,6,False,False
63,3,1,0,1,0,1,3,4,2,0,0,1,2,4,4,2,0,0,1,2,4,5,2,0,1,1,2,5,True,False
64,9,0,1,1,0,4,1,9,0,1,1,0,4,1,10,1,1,0,0,5,2,8,0,1,0,0,4,0,True,True
65,9,0,1,1,0,4,1,4,2,0,0,1,2,4,5,2,0,1,1,2,5,10,1,1,0,0,5,2,True,True
66,3,1,0,1,0,1,3,9,0,1,1,0,4,1,14,3,1,0,1,7,6,10,1,1,0,0,5,2,False,True
67,14,3,1,0,1,7,6,3,1,0,1,0,1,3,13,2,1,1,1,6,5,4,2,0,0,1,2,4,False,True
68,15,3,1,1,1,7,7,9,0,1,1,0,4,1,13,2,1,1,1,6,5,2,1,0,0,0,1,2,False,False
69,12,2,1,0,1,6,4,14,3,1,0,1,7,6,9,0,1,1,0,4,1,6,3,0,0,1,3,6,False,True
70,4,2,0,0,1,2,4,15,3,1,1,1,7,7,2,1,0,0,0,1,2,0,0,0,0,0,0,0,False,False
71,4,2,0,0,1,2,4,12,2,1,0,1,6,4,6,3,0,0,1,3,6,3,1,0,1,0,1,3,True,False
72,9,0,1,1,0,4,1,4,2,0,0,1,2,4,3,1,0,1,0,1,3,13,2,1,1,1,6,5,False,False
73,7,3,0,1,1,3,7,3,1,0,1,0,1,3,10,1,1,0,0,5,2,14,3,1,0,1,7,6,True,True
74,10,1,1,0,0,5,2,2,1,0,0,0,1,2,6,3,0,0,1,3,6,0,0,0,0,0,0,0,False,True
75,2,1,0,0,0,1,2,10,1,1,0,0,5,2,0,0,0,0,0,0,0,6,3,0,0,1,3,6,True,False
76,4,2,0,0,1,2,4,7,3,0,1,1,3,7,14,3,1,0,1,7,6,5,2,0,1,1,2,5,True,True
77,14,3,1,0,1,7,6,4,2,0,0,1,2,4,0,0,0,0,0,0,0,9,0,1,1,0,4,1,False,False
78,9,0,1,1,0,4,1,14,3,1,0,1,7,6,4,2,0,0,1,2,4,14,3,1,0,1,7,6,True,False
79,3,1,0,1,0,1,3,9,0,1,1,0,4,1,8,0,1,0,0,4,0,13,2,1,1,1,6,5,True,False
