,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
48,15,3,1,1,1,7,7,3,1,0,1,0,1,3,6,3,0,0,1,3,6,13,2,1,1,1,6,5,True,True
49,8,0,1,0,0,4,0,10,1,1,0,0,5,2,7,3,0,1,1,3,7,14,3,1,0,1,7,6,False,True
50,9,0,1,1,0,4,1,9,0,1,1,0,4,1,10,1,1,0,0,5,2,6,3,0,0,1,3,6,True,False
51,5,2,0,1,1,2,5,1,0,0,1,0,0,1,7,3,0,1,1,3,7,14,3,1,0,1,7,6,True,False
52,13,2,1,1,1,6,5,10,1,1,0,0,5,2,13,2,1,1,1,6,5,10,1,1,0,0,5,2,True,True
53,3,1,0,1,0,1,3,9,0,1,1,0,4,1,5,2,0,1,1,2,5,5,2,0,1,1,2,5,False,True
54,5,2,0,1,1,2,5,15,3,1,1,1,7,7,13,2,1,1,1,6,5,13,2,1,1,1,6,5,True,False
55,4,2,0,0,1,2,4,1,0,0,1,0,0,1,5,2,0,1,1,2,5,4,2,0,0,1,2,4,True,True
56,15,3,1,1,1,7,7,8,0,1,0,0,4,0,9,0,1,1,0,4,1,15,3,1,1,1,7,7,True,True
57,5,2,0,1,1,2,5,3,1,0,1,0,1,3,11,1,1,1,0,5,3,9,0,1,1,0,4,1,False,False
58,0,0,0,0,0,0,0,9,0,1,1,0,4,1,0,0,0,0,0,0,0,14,3,1,0,1,7,6,False,False
59,11,1,1,1,0,5,3,0,0,0,0,0,0,0,14,3,1,0,1,7,6,5,2,0,1,1,2,5,False,False
60,3,1,0,1,0,1,3,6,3,0,0,1,3,6,7,3,0,1,1,3,7,13,2,1,1,1,6,5,True,False
61,7,3,0,1,1,3,7,0,0,0,0,0,0,0,9,0,1,1,0,4,1,9,0,1,1,0,4,1,False,False
62,12,2,1,0,1,6,4,7,3,0,1,1,3,7,10,1,1,0,0,5,2,6,3,0,0,1,3,6,False,False
63,9,0,1,1,0,4,1,13,2,1,1,1,6,5,15,3,1,1,1,7,7,13,2,1,1,1,6,5,True,True
64,13,2,1,1,1,6,5,8,0,1,0,0,4,0,15,3,1,1,1,7,7,9,0,1,1,0,4,1,True,True
65,15,3,1,1,1,7,7,7,3,0,1,1,3,7,1,0,0,1,0,0,1,4,2,0,0,1,2,4,True,False
66,1,0,0,1,0,0,1,7,3,0,1,1,3,7,6,3,0,0,1,3,6,0,0,0,0,0,0,0,True,True
67,11,1,1,1,0,5,3,2,1,0,0,0,1,2,0,0,0,0,0,0,0,9,0,1,1,0,4,1,True,True
68,0,0,0,0,0,0,0,15,3,1,1,1,7,7,12,2,1,0,1,6,4,11,1,1,1,0,5,3,True,False
69,8,0,1,0,0,4,0,13,2,1,1,1,6,5,5,2,0,1,1,2,5,8,0,1,0,0,4,0,False,True
70,5,2,0,1,1,2,5,6,3,0,0,1,3,6,4,2,0,0,1,2,4,1,0,0,1,0,0,1,True,True
71,3,1,0,1,0,1,3,0,0,0,0,0,0,0,13,2,1,1,1,6,5,8,0,1,0,0,4,0,False,False
72,7,3,0,1,1,3,7,9,0,1,1,0,4,1,12,2,1,0,1,6,4,3,1,0,1,0,1,3,True,True
73,14,3,1,0,1,7,6,4,2,0,0,1,2,4,4,2,0,0,1,2,4,10,1,1,0,0,5,2,True,True
74,14,3,1,0,1,7,6,12,2,1,0,1,6,4,3,1,0,1,0,1,3,0,0,0,0,0,0,0,False,False
75,3,1,0,1,0,1,3,13,2,1,1,1,6,5,7,3,0,1,1,3,7,2,1,0,0,0,1,2,False,True
76,10,1,1,0,0,5,2,5,2,0,1,1,2,5,13,2,1,1,1,6,5,0,0,0,0,0,0,0,False,False
77,3,1,0,1,0,1,3,10,1,1,0,0,5,2,0,0,0,0,0,0,0,11,1,1,1,0,5,3,False,False
78,8,0,1,0,0,4,0,6,3,0,0,1,3,6,8,0,1,0,0,4,0,4,2,0,0,1,2,4,False,False
79,13,2,1,1,1,6,5,11,1,1,1,0,5,3,7,3,0,1,1,3,7,5,2,0,1,1,2,5,False,False
80,1,0,0,1,0,0,1,11,1,1,1,0,5,3,9,0,1,1,0,4,1,7,3,0,1,1,3,7,True,True
81,5,2,0,1,1,2,5,14,3,1,0,1,7,6,8,0,1,0,0,4,0,2,1,0,0,0,1,2,True,True
82,12,2,1,0,1,6,4,7,3,0,1,1,3,7,15,3,1,1,1,7,7,3,1,0,1,0,1,3,False,False
83,2,1,0,0,0,1,2,13,2,1,1,1,6,5,9,0,1,1,0,4,1,0,0,0,0,0,0,0,True,True
84,0,0,0,0,0,0,0,4,2,0,0,1,2,4,6,3,0,0,1,3,6,13,2,1,1,1,6,5,True,False
85,9,0,1,1,0,4,1,4,2,0,0,1,2,4,10,1,1,0,0,5,2,3,1,0,1,0,1,3,False,False
86,0,0,0,0,0,0,0,2,1,0,0,0,1,2,6,3,0,0,1,3,6,8,0,1,0,0,4,0,True,False
87,11,1,1,1,0,5,3,15,3,1,1,1,7,7,4,2,0,0,1,2,4,15,3,1,1,1,7,7,False,True
88,4,2,0,0,1,2,4,0,0,0,0,0,0,0,8,0,1,0,0,4,0,6,3,0,0,1,3,6,False,True
89,12,2,1,0,1,6,4,0,0,0,0,0,0,0,3,1,0,1,0,1,3,13,2,1,1,1,6,5,True,True
90,11,1,1,1,0,5,3,12,2,1,0,1,6,4,13,2,1,1,1,6,5,3,1,0,1,0,1,3,True,False
91,12,2,1,0,1,6,4,8,0,1,0,0,4,0,7,3,0,1,1,3,7,15,3,1,1,1,7,7,False,True
92,7,3,0,1,1,3,7,7,3,0,1,1,3,7,12,2,1,0,1,6,4,15,3,1,1,1,7,7,False,False
93,7,3,0,1,1,3,7,1,0,0,1,0,0,1,7,3,0,1,1,3,7,12,2,1,0,1,6,4,True,False
94,15,3,1,1,1,7,7,2,1,0,0,0,1,2,12,2,1,0,1,6,4,6,3,0,0,1,3,6,False,False
95,14,3,1,0,1,7,6,5,2,0,1,1,2,5,1,0,0,1,0,0,1,8,0,1,0,0,4,0,True,True
96,3,1,0,1,0,1,3,3,1,0,1,0,1,3,2,1,0,0,0,1,2,14,3,1,0,1,7,6,True,False
97,7,3,0,1,1,3,7,7,3,0,1,1,3,7,11,1,1,1,0,5,3,6,3,0,0,1,3,6,False,True
98,6,3,0,0,1,3,6,4,2,0,0,1,2,4,9,0,1,1,0,4,1,4,2,0,0,1,2,4,False,True
99,7,3,0,1,1,3,7,8,0,1,0,0,4,0,4,2,0,0,1,2,4,1,0,0,1,0,0,1,False,True
100,10,1,1,0,0,5,2,5,2,0,1,1,2,5,2,1,0,0,0,1,2,12,2,1,0,1,6,4,True,True
101,2,1,0,0,0,1,2,3,1,0,1,0,1,3,11,1,1,1,0,5,3,6,3,0,0,1,3,6,False,True
102,8,0,1,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,1,2,4,0,0,0,0,0,0,0,True,False
103,14,3,1,0,1,7,6,11,1,1,1,0,5,3,3,1,0,1,0,1,3,2,1,0,0,0,1,2,False,False
104,10,1,1,0,0,5,2,12,2,1,0,1,6,4,15,3,1,1,1,7,7,10,1,1,0,0,5,2,True,True
105,8,0,1,0,0,4,0,15,3,1,1,1,7,7,6,3,0,0,1,3,6,10,1,1,0,0,5,2,False,True
106,7,3,0,1,1,3,7,0,0,0,0,0,0,0,11,1,1,1,0,5,3,11,1,1,1,0,5,3,False,False
107,11,1,1,1,0,5,3,14,3,1,0,1,7,6,0,0,0,0,0,0,0,7,3,0,1,1,3,7,False,False
108,12,2,1,0,1,6,4,11,1,1,1,0,5,3,15,3,1,1,1,7,7,1,0,0,1,0,0,1,True,False
109,0,0,0,0,0,0,0,11,1,1,1,0,5,3,5,2,0,1,1,2,5,3,1,0,1,0,1,3,False,True
110,4,2,0,0,1,2,4,8,0,1,0,0,4,0,10,1,1,0,0,5,2,10,1,1,0,0,5,2,True,False
111,0,0,0,0,0,0,0,2,1,0,0,0,1,2,4,2,0,0,1,2,4,4,2,0,0,1,2,4,True,True
112,15,3,1,1,1,7,7,8,0,1,0,0,4,0,0,0,0,0,0,0,0,12,2,1,0,1,6,4,False,True
113,8,0,1,0,0,4,0,7,3,0,1,1,3,7,3,1,0,1,0,1,3,15,3,1,1,1,7,7,True,True
114,8,0,1,0,0,4,0,10,1,1,0,0,5,2,10,1,1,0,0,5,2,7,3,0,1,1,3,7,True,False
115,5,2,0,1,1,2,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,15,3,1,1,1,7,7,True,False
116,12,2,1,0,1,6,4,10,1,1,0,0,5,2,12,2,1,0,1,6,4,10,1,1,0,0,5,2,True,True
117,2,1,0,0,0,1,2,14,3,1,0,1,7,6,2,1,0,0,0,1,2,4,2,0,0,1,2,4,False,True
118,5,2,0,1,1,2,5,15,3,1,1,1,7,7,15,3,1,1,1,7,7,13,2,1,1,1,6,5,True,False
119,4,2,0,0,1,2,4,12,2,1,0,1,6,4,1,0,0,1,0,0,1,4,2,0,0,1,2,4,False,True
120,15,3,1,1,1,7,7,5,2,0,1,1,2,5,15,3,1,1,1,7,7,15,3,1,1,1,7,7,False,True
121,4,2,0,0,1,2,4,12,2,1,0,1,6,4,10,1,1,0,0,5,2,9,0,1,1,0,4,1,True,False
122,1,0,0,1,0,0,1,3,1,0,1,0,1,3,8,0,1,0,0,4,0,15,3,1,1,1,7,7,False,False
123,11,1,1,1,0,5,3,3,1,0,1,0,1,3,14,3,1,0,1,7,6,5,2,0,1,1,2,5,False,False
124,2,1,0,0,0,1,2,8,0,1,0,0,4,0,8,0,1,0,0,4,0,12,2,1,0,1,6,4,True,False
125,6,3,0,0,1,3,6,14,3,1,0,1,7,6,10,1,1,0,0,5,2,8,0,1,0,0,4,0,True,False
126,13,2,1,1,1,6,5,9,0,1,1,0,4,1,3,1,0,1,0,1,3,7,3,0,1,1,3,7,False,False
127,9,0,1,1,0,4,1,1,0,0,1,0,0,1,15,3,1,1,1,7,7,12,2,1,0,1,6,4,False,True
128,13,2,1,1,1,6,5,8,0,1,0,0,4,0,12,2,1,0,1,6,4,8,0,1,0,0,4,0,True,True
129,15,3,1,1,1,7,7,6,3,0,0,1,3,6,1,0,0,1,0,0,1,5,2,0,1,1,2,5,True,False
130,0,0,0,0,0,0,0,2,1,0,0,0,1,2,7,3,0,1,1,3,7,1,0,0,1,0,0,1,True,True
131,10,1,1,0,0,5,2,10,1,1,0,0,5,2,4,2,0,0,1,2,4,8,0,1,0,0,4,0,False,True
132,1,0,0,1,0,0,1,5,2,0,1,1,2,5,7,3,0,1,1,3,7,11,1,1,1,0,5,3,True,False
133,9,0,1,1,0,4,1,3,1,0,1,0,1,3,1,0,0,1,0,0,1,9,0,1,1,0,4,1,True,True
134,4,2,0,0,1,2,4,4,2,0,0,1,2,4,8,0,1,0,0,4,0,1,0,0,1,0,0,1,False,True
135,3,1,0,1,0,1,3,3,1,0,1,0,1,3,3,1,0,1,0,1,3,9,0,1,1,0,4,1,True,False
136,7,3,0,1,1,3,7,4,2,0,0,1,2,4,3,1,0,1,0,1,3,3,1,0,1,0,1,3,True,True
137,15,3,1,1,1,7,7,5,2,0,1,1,2,5,15,3,1,1,1,7,7,11,1,1,1,0,5,3,False,True
138,14,3,1,0,1,7,6,13,2,1,1,1,6,5,2,1,0,0,0,1,2,1,0,0,1,0,0,1,False,False
139,3,1,0,1,0,1,3,1,0,0,1,0,0,1,15,3,1,1,1,7,7,3,1,0,1,0,1,3,False,True
140,10,1,1,0,0,5,2,1,0,0,1,0,0,1,11,1,1,1,0,5,3,0,0,0,0,0,0,0,False,False
141,2,1,0,0,0,1,2,1,0,0,1,0,0,1,8,0,1,0,0,4,0,11,1,1,1,0,5,3,False,False
142,8,0,1,0,0,4,0,12,2,1,0,1,6,4,12,2,1,0,1,6,4,5,2,0,1,1,2,5,True,False
143,13,2,1,1,1,6,5,6,3,0,0,1,3,6,6,3,0,0,1,3,6,5,2,0,1,1,2,5,True,False
144,1,0,0,1,0,0,1,14,3,1,0,1,7,6,7,3,0,1,1,3,7,7,3,0,1,1,3,7,False,True
145,4,2,0,0,1,2,4,13,2,1,1,1,6,5,5,2,0,1,1,2,5,3,1,0,1,0,1,3,False,True
146,13,2,1,1,1,6,5,11,1,1,1,0,5,3,7,3,0,1,1,3,7,2,1,0,0,0,1,2,False,False
147,3,1,0,1,0,1,3,8,0,1,0,0,4,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,False,True
148,0,0,0,0,0,0,0,8,0,1,0,0,4,0,7,3,0,1,1,3,7,13,2,1,1,1,6,5,False,False
149,8,0,1,0,0,4,0,13,2,1,1,1,6,5,7,3,0,1,1,3,7,3,1,0,1,0,1,3,False,False
150,1,0,0,1,0,0,1,10,1,1,0,0,5,2,11,1,1,1,0,5,3,8,0,1,0,0,4,0,True,False
151,11,1,1,1,0,5,3,10,1,1,0,0,5,2,0,0,0,0,0,0,0,14,3,1,0,1,7,6,False,True
152,5,2,0,1,1,2,5,15,3,1,1,1,7,7,5,2,0,1,1,2,5,7,3,0,1,1,3,7,False,True
153,12,2,1,0,1,6,4,4,2,0,0,1,2,4,1,0,0,1,0,0,1,12,2,1,0,1,6,4,True,True
154,10,1,1,0,0,5,2,4,2,0,0,1,2,4,4,2,0,0,1,2,4,3,1,0,1,0,1,3,True,False
155,13,2,1,1,1,6,5,0,0,0,0,0,0,0,5,2,0,1,1,2,5,14,3,1,0,1,7,6,True,True
156,6,3,0,0,1,3,6,8,0,1,0,0,4,0,3,1,0,1,0,1,3,14,3,1,0,1,7,6,False,False
157,6,3,0,0,1,3,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,13,2,1,1,1,6,5,True,False
158,14,3,1,0,1,7,6,4,2,0,0,1,2,4,12,2,1,0,1,6,4,7,3,0,1,1,3,7,False,False
159,15,3,1,1,1,7,7,13,2,1,1,1,6,5,0,0,0,0,0,0,0,8,0,1,0,0,4,0,False,True
160,3,1,0,1,0,1,3,10,1,1,0,0,5,2,8,0,1,0,0,4,0,14,3,1,0,1,7,6,True,False
161,6,3,0,0,1,3,6,14,3,1,0,1,7,6,1,0,0,1,0,0,1,6,3,0,0,1,3,6,False,True
162,7,3,0,1,1,3,7,14,3,1,0,1,7,6,15,3,1,1,1,7,7,5,2,0,1,1,2,5,True,True
163,6,3,0,0,1,3,6,13,2,1,1,1,6,5,8,0,1,0,0,4,0,1,0,0,1,0,0,1,True,True
164,11,1,1,1,0,5,3,6,3,0,0,1,3,6,10,1,1,0,0,5,2,12,2,1,0,1,6,4,False,True
165,2,1,0,0,0,1,2,8,0,1,0,0,4,0,10,1,1,0,0,5,2,7,3,0,1,1,3,7,True,True
166,8,0,1,0,0,4,0,15,3,1,1,1,7,7,11,1,1,1,0,5,3,1,0,0,1,0,0,1,True,False
167,14,3,1,0,1,7,6,2,1,0,0,0,1,2,13,2,1,1,1,6,5,3,1,0,1,0,1,3,False,False
168,10,1,1,0,0,5,2,3,1,0,1,0,1,3,4,2,0,0,1,2,4,11,1,1,1,0,5,3,True,True
169,8,0,1,0,0,4,0,8,0,1,0,0,4,0,5,2,0,1,1,2,5,10,1,1,0,0,5,2,False,True
170,6,3,0,0,1,3,6,11,1,1,1,0,5,3,12,2,1,0,1,6,4,10,1,1,0,0,5,2,True,False
171,11,1,1,1,0,5,3,0,0,0,0,0,0,0,13,2,1,1,1,6,5,7,3,0,1,1,3,7,False,False
172,13,2,1,1,1,6,5,7,3,0,1,1,3,7,3,1,0,1,0,1,3,0,0,0,0,0,0,0,True,False
173,1,0,0,1,0,0,1,15,3,1,1,1,7,7,8,0,1,0,0,4,0,3,1,0,1,0,1,3,True,True
174,5,2,0,1,1,2,5,6,3,0,0,1,3,6,8,0,1,0,0,4,0,10,1,1,0,0,5,2,False,False
175,0,0,0,0,0,0,0,9,0,1,1,0,4,1,15,3,1,1,1,7,7,5,2,0,1,1,2,5,True,True
176,15,3,1,1,1,7,7,13,2,1,1,1,6,5,10,1,1,0,0,5,2,12,2,1,0,1,6,4,True,True
177,9,0,1,1,0,4,1,1,0,0,1,0,0,1,7,3,0,1,1,3,7,15,3,1,1,1,7,7,True,True
178,8,0,1,0,0,4,0,6,3,0,0,1,3,6,14,3,1,0,1,7,6,7,3,0,1,1,3,7,False,False
179,5,2,0,1,1,2,5,2,1,0,0,0,1,2,11,1,1,1,0,5,3,15,3,1,1,1,7,7,False,False
180,13,2,1,1,1,6,5,11,1,1,1,0,5,3,14,3,1,0,1,7,6,10,1,1,0,0,5,2,True,True
181,3,1,0,1,0,1,3,1,0,0,1,0,0,1,3,1,0,1,0,1,3,4,2,0,0,1,2,4,True,True
182,4,2,0,0,1,2,4,10,1,1,0,0,5,2,3,1,0,1,0,1,3,12,2,1,0,1,6,4,False,False
183,4,2,0,0,1,2,4,7,3,0,1,1,3,7,5,2,0,1,1,2,5,4,2,0,0,1,2,4,True,True
184,14,3,1,0,1,7,6,3,1,0,1,0,1,3,9,0,1,1,0,4,1,15,3,1,1,1,7,7,False,True
185,4,2,0,0,1,2,4,14,3,1,0,1,7,6,3,1,0,1,0,1,3,8,0,1,0,0,4,0,False,False
186,1,0,0,1,0,0,1,5,2,0,1,1,2,5,10,1,1,0,0,5,2,15,3,1,1,1,7,7,False,False
187,10,1,1,0,0,5,2,3,1,0,1,0,1,3,14,3,1,0,1,7,6,4,2,0,0,1,2,4,False,False
188,2,1,0,0,0,1,2,15,3,1,1,1,7,7,12,2,1,0,1,6,4,13,2,1,1,1,6,5,True,False
189,6,3,0,0,1,3,6,9,0,1,1,0,4,1,9,0,1,1,0,4,1,8,0,1,0,0,4,0,True,False
190,13,2,1,1,1,6,5,6,3,0,0,1,3,6,13,2,1,1,1,6,5,7,3,0,1,1,3,7,False,False
191,8,0,1,0,0,4,0,13,2,1,1,1,6,5,14,3,1,0,1,7,6,12,2,1,0,1,6,4,True,True
192,13,2,1,1,1,6,5,10,1,1,0,0,5,2,2,1,0,0,0,1,2,8,0,1,0,0,4,0,False,True
193,15,3,1,1,1,7,7,1,0,0,1,0,0,1,13,2,1,1,1,6,5,4,2,0,0,1,2,4,False,False
194,1,0,0,1,0,0,1,6,3,0,0,1,3,6,13,2,1,1,1,6,5,1,0,0,1,0,0,1,False,True
195,10,1,1,0,0,5,2,0,0,0,0,0,0,0,3,1,0,1,0,1,3,9,0,1,1,0,4,1,True,True
196,1,0,0,1,0,0,1,7,3,0,1,1,3,7,2,1,0,0,0,1,2,11,1,1,1,0,5,3,True,False
197,9,0,1,1,0,4,1,2,1,0,0,0,1,2,13,2,1,1,1,6,5,8,0,1,0,0,4,0,False,True
198,5,2,0,1,1,2,5,3,1,0,1,0,1,3,14,3,1,0,1,7,6,0,0,0,0,0,0,0,False,True
199,2,1,0,0,0,1,2,15,3,1,1,1,7,7,8,0,1,0,0,4,0,8,0,1,0,0,4,0,True,False
200,7,3,0,1,1,3,7,12,2,1,0,1,6,4,4,2,0,0,1,2,4,2,1,0,0,0,1,2,False,True
201,15,3,1,1,1,7,7,4,2,0,0,1,2,4,14,3,1,0,1,7,6,10,1,1,0,0,5,2,False,True
202,15,3,1,1,1,7,7,13,2,1,1,1,6,5,15,3,1,1,1,7,7,0,0,0,0,0,0,0,True,False
203,2,1,0,0,0,1,2,4,2,0,0,1,2,4,2,1,0,0,0,1,2,2,1,0,0,0,1,2,True,True
204,10,1,1,0,0,5,2,9,0,1,1,0,4,1,5,2,0,1,1,2,5,1,0,0,1,0,0,1,False,False
205,3,1,0,1,0,1,3,5,2,0,1,1,2,5,0,0,0,0,0,0,0,10,1,1,0,0,5,2,True,False
206,9,0,1,1,0,4,1,15,3,1,1,1,7,7,4,2,0,0,1,2,4,5,2,0,1,1,2,5,False,False
207,12,2,1,0,1,6,4,8,0,1,0,0,4,0,10,1,1,0,0,5,2,4,2,0,0,1,2,4,True,False
208,0,0,0,0,0,0,0,15,3,1,1,1,7,7,0,0,0,0,0,0,0,6,3,0,0,1,3,6,False,True
209,4,2,0,0,1,2,4,2,1,0,0,0,1,2,2,1,0,0,0,1,2,2,1,0,0,0,1,2,True,True
210,12,2,1,0,1,6,4,1,0,0,1,0,0,1,4,2,0,0,1,2,4,2,1,0,0,0,1,2,True,False
211,2,1,0,0,0,1,2,6,3,0,0,1,3,6,7,3,0,1,1,3,7,1,0,0,1,0,0,1,True,True
212,1,0,0,1,0,0,1,8,0,1,0,0,4,0,15,3,1,1,1,7,7,13,2,1,1,1,6,5,True,False
213,9,0,1,1,0,4,1,7,3,0,1,1,3,7,5,2,0,1,1,2,5,2,1,0,0,0,1,2,True,False
214,1,0,0,1,0,0,1,13,2,1,1,1,6,5,10,1,1,0,0,5,2,9,0,1,1,0,4,1,True,False
215,11,1,1,1,0,5,3,4,2,0,0,1,2,4,12,2,1,0,1,6,4,14,3,1,0,1,7,6,False,True
216,5,2,0,1,1,2,5,14,3,1,0,1,7,6,7,3,0,1,1,3,7,7,3,0,1,1,3,7,False,True
217,13,2,1,1,1,6,5,14,3,1,0,1,7,6,15,3,1,1,1,7,7,12,2,1,0,1,6,4,True,True
218,10,1,1,0,0,5,2,5,2,0,1,1,2,5,7,3,0,1,1,3,7,2,1,0,0,0,1,2,True,False
219,13,2,1,1,1,6,5,0,0,0,0,0,0,0,6,3,0,0,1,3,6,15,3,1,1,1,7,7,True,True
