,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
28,5,2,0,1,1,2,5,3,1,0,1,0,1,3,4,2,0,0,1,2,4,13,2,1,1,1,6,5,False,True
29,15,3,1,1,1,7,7,1,0,0,1,0,0,1,9,0,1,1,0,4,1,8,0,1,0,0,4,0,True,False
30,1,0,0,1,0,0,1,15,3,1,1,1,7,7,2,1,0,0,0,1,2,15,3,1,1,1,7,7,False,False
31,3,1,0,1,0,1,3,5,2,0,1,1,2,5,10,1,1,0,0,5,2,4,2,0,0,1,2,4,False,False
32,1,0,0,1,0,0,1,5,2,0,1,1,2,5,8,0,1,0,0,4,0,8,0,1,0,0,4,0,False,True
33,9,0,1,1,0,4,1,1,0,0,1,0,0,1,7,3,0,1,1,3,7,11,1,1,1,0,5,3,False,False
34,2,1,0,0,0,1,2,14,3,1,0,1,7,6,3,1,0,1,0,1,3,2,1,0,0,0,1,2,False,True
35,15,3,1,1,1,7,7,3,1,0,1,0,1,3,4,2,0,0,1,2,4,13,2,1,1,1,6,5,False,False
36,14,3,1,0,1,7,6,1,0,0,1,0,0,1,8,0,1,0,0,4,0,3,1,0,1,0,1,3,True,False
37,13,2,1,1,1,6,5,14,3,1,0,1,7,6,7,3,0,1,1,3,7,15,3,1,1,1,7,7,True,False
38,5,2,0,1,1,2,5,0,0,0,0,0,0,0,12,2,1,0,1,6,4,8,0,1,0,0,4,0,False,False
39,4,2,0,0,1,2,4,5,2,0,1,1,2,5,13,2,1,1,1,6,5,10,1,1,0,0,5,2,True,False
40,0,0,0,0,0,0,0,13,2,1,1,1,6,5,15,3,1,1,1,7,7,12,2,1,0,1,6,4,False,False
41,14,3,1,0,1,7,6,4,2,0,0,1,2,4,10,1,1,0,0,5,2,7,3,0,1,1,3,7,False,True
42,10,1,1,0,0,5,2,10,1,1,0,0,5,2,1,0,0,1,0,0,1,1,0,0,1,0,0,1,False,False
43,11,1,1,1,0,5,3,9,0,1,1,0,4,1,11,1,1,1,0,5,3,6,3,0,0,1,3,6,False,False
44,5,2,0,1,1,2,5,15,3,1,1,1,7,7,13,2,1,1,1,6,5,13,2,1,1,1,6,5,False,True
45,7,3,0,1,1,3,7,2,1,0,0,0,1,2,2,1,0,0,0,1,2,9,0,1,1,0,4,1,True,False
46,1,0,0,1,0,0,1,7,3,0,1,1,3,7,9,0,1,1,0,4,1,7,3,0,1,1,3,7,False,False
47,3,1,0,1,0,1,3,11,1,1,1,0,5,3,6,3,0,0,1,3,6,4,2,0,0,1,2,4,False,False
48,9,0,1,1,0,4,1,0,0,0,0,0,0,0,14,3,1,0,1,7,6,1,0,0,1,0,0,1,False,True
49,8,0,1,0,0,4,0,8,0,1,0,0,4,0,13,2,1,1,1,6,5,11,1,1,1,0,5,3,False,False
50,11,1,1,1,0,5,3,14,3,1,0,1,7,6,10,1,1,0,0,5,2,3,1,0,1,0,1,3,False,True
51,7,3,0,1,1,3,7,4,2,0,0,1,2,4,5,2,0,1,1,2,5,5,2,0,1,1,2,5,True,False
52,14,3,1,0,1,7,6,11,1,1,1,0,5,3,3,1,0,1,0,1,3,10,1,1,0,0,5,2,True,False
53,5,2,0,1,1,2,5,8,0,1,0,0,4,0,11,1,1,1,0,5,3,6,3,0,0,1,3,6,False,False
54,13,2,1,1,1,6,5,7,3,0,1,1,3,7,5,2,0,1,1,2,5,1,0,0,1,0,0,1,False,False
55,13,2,1,1,1,6,5,13,2,1,1,1,6,5,2,1,0,0,0,1,2,2,1,0,0,0,1,2,False,False
56,8,0,1,0,0,4,0,2,1,0,0,0,1,2,14,3,1,0,1,7,6,13,2,1,1,1,6,5,False,False
57,15,3,1,1,1,7,7,6,3,0,0,1,3,6,1,0,0,1,0,0,1,15,3,1,1,1,7,7,False,True
58,2,1,0,0,0,1,2,2,1,0,0,0,1,2,5,2,0,1,1,2,5,8,0,1,0,0,4,0,False,False
59,2,1,0,0,0,1,2,5,2,0,1,1,2,5,6,3,0,0,1,3,6,14,3,1,0,1,7,6,False,False
60,4,2,0,0,1,2,4,2,1,0,0,0,1,2,8,0,1,0,0,4,0,5,2,0,1,1,2,5,False,True
61,6,3,0,0,1,3,6,13,2,1,1,1,6,5,1,0,0,1,0,0,1,1,0,0,1,0,0,1,False,False
62,0,0,0,0,0,0,0,9,0,1,1,0,4,1,1,0,0,1,0,0,1,14,3,1,0,1,7,6,True,False
63,2,1,0,0,0,1,2,15,3,1,1,1,7,7,15,3,1,1,1,7,7,5,2,0,1,1,2,5,True,False
64,1,0,0,1,0,0,1,12,2,1,0,1,6,4,6,3,0,0,1,3,6,8,0,1,0,0,4,0,False,True
65,8,0,1,0,0,4,0,15,3,1,1,1,7,7,12,2,1,0,1,6,4,10,1,1,0,0,5,2,False,False
66,2,1,0,0,0,1,2,9,0,1,1,0,4,1,12,2,1,0,1,6,4,10,1,1,0,0,5,2,False,True
67,15,3,1,1,1,7,7,8,0,1,0,0,4,0,10,1,1,0,0,5,2,12,2,1,0,1,6,4,False,False
68,15,3,1,1,1,7,7,2,1,0,0,0,1,2,10,1,1,0,0,5,2,2,1,0,0,0,1,2,True,False
69,12,2,1,0,1,6,4,11,1,1,1,0,5,3,8,0,1,0,0,4,0,6,3,0,0,1,3,6,False,False
70,5,2,0,1,1,2,5,1,0,0,1,0,0,1,8,0,1,0,0,4,0,9,0,1,1,0,4,1,True,False
71,13,2,1,1,1,6,5,14,3,1,0,1,7,6,1,0,0,1,0,0,1,11,1,1,1,0,5,3,False,False
72,9,0,1,1,0,4,1,12,2,1,0,1,6,4,13,2,1,1,1,6,5,12,2,1,0,1,6,4,True,False
73,7,3,0,1,1,3,7,5,2,0,1,1,2,5,9,0,1,1,0,4,1,7,3,0,1,1,3,7,False,True
74,11,1,1,1,0,5,3,11,1,1,1,0,5,3,15,3,1,1,1,7,7,8,0,1,0,0,4,0,False,False
75,11,1,1,1,0,5,3,13,2,1,1,1,6,5,11,1,1,1,0,5,3,15,3,1,1,1,7,7,False,False
76,12,2,1,0,1,6,4,15,3,1,1,1,7,7,2,1,0,0,0,1,2,13,2,1,1,1,6,5,False,True
77,14,3,1,0,1,7,6,0,0,0,0,0,0,0,7,3,0,1,1,3,7,1,0,0,1,0,0,1,False,False
78,0,0,0,0,0,0,0,10,1,1,0,0,5,2,5,2,0,1,1,2,5,7,3,0,1,1,3,7,False,False
79,10,1,1,0,0,5,2,7,3,0,1,1,3,7,7,3,0,1,1,3,7,5,2,0,1,1,2,5,True,False
